Restaurant_Name,Governorate,District,Address_Details,Phone
اسماك الرحمن,الجيزة.,الهرم,"20 ش الوفاء والامل, المريوطية",N/A
اسماك الرحمن,الجيزة.,فيصل,"ش المنشية, الطوابق",N/A
اسماك الرحمة,الجيزة. جميع الفروع❯,الهرم,"301 د ش الضغط العالى, حدائق الاهرام",N/A
اسماك الرضوان,القاهرة.,مدينة الرحاب,السوق التجارى,N/A
اسماك الرماح,القاهرة.,السيدة زينب,24 ش الناصرية,N/A
اسماك الروبى,الاسكندرية.,العجمى,شاطئ النخيل,N/A
اسماك الروبيان,الجيزة.,الهرم,"246 ش ترعة الزمر, العمرانية الغربية",N/A
اسماك الروضة,الاسكندرية.,سيدى جابر,50 ش عزيز فهمى,N/A
اسماك الريان,الجيزة.,السادس من اكتوبر,"محور الكفراوى, الحى الاول",N/A
اسماك الريس,القاهرة.,عباسية,65 أ ش العباسية ميدان عبده باشا,N/A
اسماك الريس,القليوبية.,مدينة العبور,"ش عبد الرحمن الرافعى, الحى الاول",N/A
اسماك الريس عرفة,الجيزة.,المهندسين,71 ش جامعة الدول العربية,N/A
اسماك الزعيم,الجيزة.,امبابة,34 ش النصر,N/A
اسماك الزغبى,القاهرة.,عزبة النخل,ش سيد النوبى,N/A
اسماك السامرى,الجيزة.,فيصل,ش حمد ياسين,N/A
اسماك السايح,الجيزة.,الهرم,"ش المنحل, متفرع من ش العروبة, المريوطية",N/A
اسماك السجينى,القاهرة.,باب الشعرية,1 ميدان باب الشعرية,N/A
اسماك السد العالى,القاهرة.,جسر السويس,ش عبد الخالق شمروخ تقاطع ش عشرة,N/A
اسماك السعودى,القاهرة.,جسر السويس,53 أ عمارات الفاروقية - ش جسر السويس,N/A
اسماك السعودى,القاهرة.,السيدة زينب,18 ش مجلس الامة,N/A
اسماك السفينة,القاهرة.,عين شمس الشرقية,5 ش ادم,N/A
اسماك السلطان,القاهرة.,مدينة السلام,بلوك 3 - مساكن القاهرة - ش العبور - مدينة النهضة,N/A
اسماك السلطان,الجيزة.,السادس من اكتوبر,"المجاورة الرابعة, الحى الاول",N/A
اسماك السماك,الجيزة.,فيصل,"2 ش محمود عباس على, كفر طهرمس",N/A
اسماك السندباد,القاهرة.,النزهة الجديدة,1 ش احمد عبد النبى,N/A
اسماك السنى,القاهرة.,السكاكينى,24 ش ابن خلدون,N/A
اسماك السنى,القاهرة.,المقطم,8112 مساكن النصر القديم ش 9,N/A
اسماك السويس,القاهرة.,مدينة الرحاب,ممر الشانزليزيه - - السوق التجارى - محل 285,N/A
اسماك السويس,الجيزة.,الهرم,"120 ص, حدائق الاهرام",N/A
اسماك السويس,القليوبية.,القلج,41 ش الوحدة المحلية,N/A
اسماك السويسى,القاهرة.,المعادى,"33 ش 154, المعادى الجديدة",N/A
اسماك السويفى,الساحل الشمالى.,طريق اسكندرية مطروح الصحراوى,كم 91 -,N/A
اسماك السيناتور,الساحل الشمالى.,طريق اسكندرية مطروح الصحراوى,كم 56 -,N/A
اسماك الشابورى,الاسكندرية.,البيطاش,139 ش البيطاش,N/A
اسماك الشاطر,القاهرة.,حدائق القبة,1 ش خيرت,N/A
اسماك الشاطىء,القاهرة. جميع الفروع❯,مدينة نصر,"134 ش ابراهيم نوار, متفرع من ش احمد فخرى, المنطقة السادسة",N/A
اسماك الشامى,القاهرة.,باب الشعرية,2 ش باب البحر ميدان الفواطية,N/A
اسماك الشروق,القاهرة.,المرج,8 ش البترول,N/A
اسماك الشروق,القاهرة.,مدينة نصر,"402 مساكن ضباط القوات المسلحة - ش على بن ابى طالب, زهراء مدينة نصر",N/A
اسماك الشروق,الساحل الشمالى.,سيدى كرير,كم 39.5 -,N/A
اسماك الشريف,القاهرة.,حدائق القبة,153 ش مصر والسودان,N/A
اسماك الشريف,القاهرة.,مصر الجديدة,"42 عمارات مصر للتعمير, المنطقة الاولى, مساكن شيراتون",N/A
اسماك الشريف,الجيزة.,بولاق الدكرور,1 عمارة على الشريف - ش المعتمدية,N/A
اسماك الشريف الاصلى,الساحل الشمالى.,الحمام,ش اسكندرية,N/A
اسماك الشعراوى,الجيزة.,السادس من اكتوبر,"., الحى 11",N/A
اسماك الشلبى,الاسكندرية.,العصافرة بحرى,8 ش سليمان الفارسى,N/A
اسماك الشمندورة,القاهرة.,المطرية,ش صبرى عبد الجليل,N/A
اسماك الشيخ,القاهرة.,مصر الجديدة,"7 ش محمد رشيد رضا, الماظة",N/A
اسماك الشيخ,القاهرة.,الحرفيين,3 ش السادات,N/A
اسماك الشيخ,القاهرة. جميع الفروع❯,مدينة نصر,"307 ش احمد الزمر, الحى العاشر",N/A
اسماك الشيخ,الجيزة.,فيصل,3 ش حامد السيد,N/A
اسماك الشيخ,الجيزة.,الهرم,"2 ش احمد عبد العزيز, الطالبية",N/A
اسماك الشيخ,الجيزة.,فيصل,"1 ش محمد عبد القوى, متفرع من ش د. لاشين, المريوطية",N/A
اسماك الشيخ,الجيزة.,الوراق,18 ش ترعة السواحل - وراق الحضر,N/A
اسماك الشيف,القاهرة.,المطرية,1 ش الرشاد,N/A
اسماك الشيف,الجيزة. جميع الفروع❯,السادس من اكتوبر,", المجاورة الاولى - المحور المركزى, الحى الثانى",N/A
اسماك الشيف ريعو,القاهرة.,عين شمس الشرقية,"2 ش محمد ابراهيم, المهاجرين",N/A
اسماك الصعيدى,القاهرة.,مصر الجديدة,"22 ش ابو السرور البكرى, منشية البكرى",N/A
اسماك الصياد,القاهرة.,مصر الجديدة,"3 ش سمير مختار متفرع من ش نبيل الوقاد, ارض الجولف",N/A
اسماك الصياد,القاهرة.,مصر الجديدة,"ش سليمان الطماوى, مساكن شيراتون",N/A
اسماك الصياد,القاهرة.,حلوان,ش احمد بدوى,N/A
اسماك الصياد,القاهرة.,مدينة قباء,4 ش عمر بن الخطاب,N/A
اسماك الصياد,القاهرة.,المرج,92 ش مؤسسة الزكاة,N/A
اسماك الصياد,القاهرة.,مصر الجديدة,"4 ش محمد المهدى، متفرع من ش نبيل الوقاد, ارض الجولف",N/A
اسماك الصياد,القاهرة.,عين شمس الشرقية,196 ش جسر السويس,N/A
اسماك الصياد,الجيزة.,فيصل,6 ش على شيحة,N/A
اسماك الصياد,القليوبية.,شبرا الخيمة,8 ابراج المدينة المنورة - ش 15 مايو,N/A
اسماك الصياد,الجيزة.,فيصل,1 ش زهران,N/A
اسماك الصياد,الجيزة.,السادس من اكتوبر,ش احمد سلام - مدينة الامل,N/A
اسماك الصياد,القليوبية.,شبرا الخيمة,120 ش احمد عرابى,N/A
اسماك الصياد,الساحل الشمالى. جميع الفروع❯,طريق اسكندرية مطروح الصحراوى,كم 38.5 -,N/A
اسماك الصياد,الاسكندرية.,بحرى,ش الحجارى,N/A
اسماك الصياد,الجيزة.,فيصل,40 ش حسن الصبان,N/A
اسماك الصياد,القليوبية.,شبين القناطر,2 ش سكة حديد الدلتا,N/A
اسماك الصياد,الجيزة.,الهرم,"47 ش سعد امام, الطالبية",N/A
اسماك الصياد,الجيزة.,السادس من اكتوبر,"المحور المركزى, الحى العاشر",N/A
اسماك الطارق,القاهرة.,مصر الجديدة,122 ش عثمان بن عفان,N/A
اسماك الطازج,القاهرة.,مدينة نصر,6 /11 عمارات الغد المشرق ش ابو داوود الظاهرى,N/A
اسماك الطوخى,القاهرة.,مدينة السلام,3 مساكن القاهرة -,N/A
اسماك الطيب,القاهرة.,مدينة نصر,"ش نصر خسرو, سوق 10, الحى السابع",N/A
اسماك الطيب,الاسكندرية.,المندرة البحرية,ش ملك حفنى,N/A
اسماك الطيب,الشرقية.,كفر صقر,ش الجلاء,N/A
اسماك العائلات,الجيزة.,العجوزة,20 ش شاهين,N/A
اسماك العبور,القاهرة.,جسر السويس,339 ش عمر بن الخطاب,N/A
اسماك العبور,القاهرة.,القاهرة الجديدة,"11 - البنفسج 1, التجمع الاول",N/A
اسماك العدوى,القاهرة.,شبرا,4 ش عبد القادر الرافعى,N/A
اسماك العربى,الجيزة.,الهرم,"1 ش عبد النبى عبد الحميد, العمرانية الشرقية",N/A
اسماك العزيز,القاهرة.,حدائق القبة,1 ب عمارات رئاسة الجمهورية -,N/A
اسماك العشرى,الاسماعيلية.,حى السلام,1 ش العشرينى,N/A
اسماك العشماوى,الدقهلية.,طلخا,ش الجمهورية,N/A
اسماك العقاد,القاهرة.,مدينة نصر,5 طريق النصر,N/A
اسماك العقاد,الجيزة. جميع الفروع❯,بولاق الدكرور,3 ش ناهيا,N/A
اسماك العمدة,الشرقية.,الزقازيق,ش مولد النبى,N/A
اسماك الغريب,القاهرة.,جسر السويس,15 ش 116,N/A
اسماك الفارس,الساحل الشمالى.,طريق مطروح اسكندرية الصحراوى,كم 91 -,N/A
اسماك الفتح,الاسكندرية.,راغب,15 ش راغب,N/A
اسماك الفردوس,الاسكندرية.,غبريال,ش سليمان الفارسى,N/A
اسماك الفردوس,الجيزة.,الهرم,12 ش المستشفى,N/A
اسماك الفردوس,القليوبية.,القلج,30 ش المدينة المنورة تقسيم العجمى,N/A
اسماك الفيروز,القاهرة.,المرج,4 ش محمد عبده,N/A
اسماك الفيروز,شرم الشيخ.,السوق القديم,.,N/A
اسماك الفيروز,دمياط.,دمياط,63 ش الشرباصى,N/A
اسماك الفيومى,القاهرة.,عين شمس الشرقية,6 ش نجيب اسكندر,N/A
اسماك القاضى,الجيزة.,السادس من اكتوبر,", المحور المركزى",N/A
اسماك القبطان,القاهرة.,حدائق القبة,ش ترعة القبة,N/A
اسماك القبطان,القاهرة.,المرج,2 ش الهوارى,N/A
اسماك القبطان,الجيزة. جميع الفروع❯,المنوات,133 ش على سلامة,N/A
اسماك القبطان ابن حميدو,القاهرة.,مصر الجديدة,"3 ش ابن هشام متفرع من ش الحجاز, ميدان الحجاز",N/A
اسماك القبة,القاهرة.,حدائق القبة,1 ش الشيخ حسونة,N/A
اسماك القرش,القاهرة.,مدينة نصر,4 ش الميثاق,N/A
اسماك القرش,القاهرة.,مصر الجديدة,"4 ش الاثرى بن نافع متفرع من ش الحجاز, روكسى",N/A
اسماك القرش,القاهرة.,الزاوية الحمراء,بلوك 73 - مساكن الزاوية الحمرا القديمة -,N/A
اسماك القرش,القاهرة.,مصر الجديدة,"4 ش الاثرى بن نافع, روكسى",N/A
اسماك القرش,الجيزة.,فيصل,15 ش اسامة ابو عميرة,N/A
اسماك القرش,الجيزة.,فيصل,"3 ش القدس, الطوابق",N/A
اسماك القرش,القليوبية.,قليوب,20 ش العاشر من رمضان,N/A
اسماك القرموطى,القاهرة.,حدائق القبة,2 ش مرقص اسحاق,N/A
اسماك القرموطى,القاهرة.,البساتين,ش مهران,N/A
اسماك القرموطى,القاهرة.,حلمية الزيتون,10 ش محمد لبيب عطية,N/A
اسماك القرموطى,القاهرة.,مصر الجديدة,"54 عمارات صقر قريش ش عبد الحميد بدوى, مساكن شيراتون",N/A
اسماك القرموطى,القاهرة.,عين شمس الشرقية,"55 ش عمان, متفرع من ش فلسطين, عرب جسر السويس",N/A
اسماك القناطر,القاهرة.,روض الفرج,42 ش اللواء فطين متفرع من ش بديع,N/A
اسماك القنال,القاهرة.,القاهرة الجديدة,", المجاورة الرابعة, عمارة 16أ, التجمع الاول",N/A
اسماك القنال,القاهرة.,مدينة نصر,2 أ عمارات الشرق للتأمين - ش د. محمود ابراهيم,N/A
اسماك القنال,القليوبية.,بنها,ش فرق الامن,N/A
اسماك القنال للمأكولات البحرية,القاهرة.,النزهة الجديدة,96 ش الشهيد طارق متفرع من ش جوزيف تيتو,N/A
اسماك الكابتن,القاهرة.,شبرا,184 أ ش شبرا,N/A
اسماك الكابتن,الجيزة.,الهرم,20 ش اللبينى,N/A
اسماك الكتعة,الاسكندرية. جميع الفروع❯,المنتزه,"4 ش ملك حفنى, المنتزة",N/A
اسماك الكريم,القاهرة.,المرج الجديدة,30 ش الجمهورية,N/A
اسماك اللؤلوة,القاهرة.,كوبرى القبة,ش ابراهيم حجازى,N/A
اسماك المتوكل على الله,القاهرة.,الزيتون,33 ش الاصبغ,N/A
اسماك المتوكل عى الله,المنوفية.,شبين الكوم,ش السلطان حسين,N/A
اسماك المحروسة,السويس.,الملاحة,", الملاحة الجديدة",N/A
اسماك المدينة المنورة,الجيزة.,السادس من اكتوبر,.,N/A
اسماك المدينة المنورة,الجيزة.,الهرم,ش المدينة المنورة,N/A
اسماك المراكبى,القاهرة.,مدينة نصر,32 ش نجاتى سراج,N/A
اسماك المراكبى,القاهرة.,المرج,15 ش الشيخ منصور,N/A
اسماك المرجان,القاهرة.,القاهرة الجديدة,"ش مسجد المصطفى, النرجس",N/A
اسماك المرجان,الجيزة.,الهرم,ش محمود خليل النحاس,N/A
اسماك المرسا,القاهرة.,حلوان,102 ش سلاح المهندسين - الدواجن,N/A
اسماك المرسى,القاهرة.,مصر الجديدة,"22 ش ابراهيم اللقانى, روكسى",N/A
اسماك المروة,القاهرة.,حلوان,ش ترعة الخشاب,N/A
اسماك المصرى,الجيزة.,السادس من اكتوبر,"., الحى 11",N/A
اسماك المصرى,الجيزة.,الجيزة,"2 ش الاسعاف, متفرع من ش ربيع الجيزى",N/A
اسماك المصطفى,الجيزة.,السادس من اكتوبر,"91 ش كان كان, المجاورة الخامسة, الحى 12",N/A
اسماك المعادى,القاهرة.,المعادى,"4 ش 100, ميدان الحرية",N/A
اسماك المعدية,الاسكندرية.,سيدى جابر,20 ش اللواء احمد على,N/A
اسماك المعدية,الاسكندرية.,سيدى جابر,11 ش حفنى ناصف,N/A
اسماك المعدية,البحيرة.,دمنهور,"ش سليم البشرى, متفرع من ش احمد عرابى",N/A
اسماك المغربى,القاهرة.,المنيل,9 ش سعيد ذو الفقار ميدان الباشا,N/A
اسماك الملاك,القاهرة.,الزاوية الحمراء,26 ش منشية الجمل,N/A
اسماك المناهرى,القاهرة.,حدائق القبة,ش ترعة الجندى,N/A
اسماك المنياوى,الجيزة.,الهرم,1 ش احمد توفيق متفرع من ش خاتم المرسلين - العمرانية,N/A
اسماك المينا,القاهرة.,شبرا,18 ش العطار,N/A
اسماك الناصرى,القاهرة.,مدينة نصر,"ش ابن فضلان, سوق 5 - محل 17",N/A
اسماك النافورة,القاهرة.,مصر الجديدة,"79 ش جسر السويس, روكسى",N/A
اسماك النخيل,الاسكندرية.,العجمى,شاطىء النخيل,N/A
اسماك الندى,القاهرة.,السيدة زينب,9 ش عبد الدايم,N/A
اسماك النزهة,القاهرة.,مصر الجديدة,2 ش ابو عبيدة بن الجراح,N/A
اسماك النصر,القاهرة.,وسط البلد,3 ميدان عرابى - التوفيقية,N/A
اسماك النصر,القاهرة.,الحسين,11 ش ام الغلام,N/A
اسماك النصر,القاهرة.,دار السلام,185 ش احمد زكى,N/A
اسماك النيل,القاهرة.,المنيل,113 ش المنيل,N/A
اسماك النيل,القاهرة.,باب اللوق,25 عمارة عبد الهادى ش البستان,N/A
اسماك النيل,الجيزة.,امبابة,58 ش الوحدة,N/A
اسماك النيل,الجيزة.,البراجيل,طريق البراجيل,N/A
اسماك النيل,الجيزة.,الهرم,"ش سعد عبد الله, الطالبية",N/A
اسماك النيل,الجيزة.,الجيزة,76 ش الثلاثينى,N/A
اسماك النيل,الجيزة.,الدقى,18 ش جاد عيد متفرع من ش سليمان جوهر,N/A
اسماك النيل الجديد,القاهرة.,باب اللوق,25 ش البستان,N/A
اسماك الهاشمى,القاهرة.,مدينة السلام,بلوك 7 - مساكن الصعيد 1000 -,N/A
اسماك الهدى,القاهرة.,حدائق حلوان,"70 ش جمال عبد الناصر, مدينة الهدى",N/A
اسماك الهدير,الفيوم.,وسط البلد,ش الدالى,N/A
اسماك الهلالى,القاهرة.,السيدة زينب,38 ش اسماعيل اباظة,N/A
اسماك الهنا,القاهرة.,النزهة الجديدة,11 ش محمد السادات,N/A
اسماك الوادى,القاهرة.,الظاهر,13 ش سعيد,N/A
اسماك الياسمين,الاسكندرية.,العجمى,ش 4 - 6 اكتوبر,N/A
اسماك اليخت,الاسكندرية.,سيدى بشر بحرى,"26 ش الشهيد البرقوقى, متفرع من ش جمال عبد الناصر, دوران جيهان",N/A
اسماك اليوم,القاهرة.,حدائق القبة,154 ش مصر والسودان,N/A
اسماك اليوم,القاهرة.,المعادى,"2 ش 154, متفرع من ش 105, عمارة ركن المعادى, حدائق المعادى",N/A
اسماك اليوم,الجيزة.,فيصل,بلوك 28أ - ش العشرين,N/A
اسماك اليوم,الجيزة.,فيصل,24 ش عبيدة بن الجراح,N/A
اسماك اليوم الجديد,القاهرة.,المرج الجديدة,1 ش البترول,N/A
اسماك اليوم الجديد,الجيزة.,الدقى,105 ش التحرير,N/A
اسماك امير,القاهرة.,البساتين,33 ش غرب السكة الحديد,N/A
اسماك اميرة البحر,القاهرة.,المعصرة,ش الرشاح,N/A
اسماك انس,الجيزة.,المهندسين,1 ميدان موسى جلال,N/A
اسماك اولاد ابو رفاعى,الجيزة.,البدرشين,61 ش النيل السعيد,N/A
اسماك اولاد الحورانى,الجيزة.,فيصل,ش المساكن,N/A
اسماك اولاد عزوز,الجيزة.,بولاق الدكرور,48 ش ترعة عبد العال 2 - صفط اللبن,N/A
اسماك اولاد عم جمعة,الجيزة.,امبابة,2 ش عبده الزيان متفرع من ش البصراوى - المنيرة الشرقية,N/A
اسماك بحرى,القاهرة.,المعادى,"ش السد العالى, حدائق المعادى",N/A
اسماك بحرى,القاهرة.,مدينة قباء,11 ش ابراهيم الخليل,N/A
اسماك بحرى,القاهرة.,عين شمس الشرقية,ش العشرين تقاطع ش محمد عباس,N/A
اسماك بحرى,القاهرة.,المقطم,1 ش 11,N/A
اسماك بحرى,الساحل الشمالى. جميع الفروع❯,طريق اسكندرية مطروح الصحراوى,كم 79 -,N/A
اسماك بحرى,الجيزة.,الوراق,5 ش ترعة السواحل - وراق العرب,N/A
اسماك بحرى,الجيزة.,فيصل,ش السادات,N/A
اسماك بحرى,الجيزة.,امبابة,34 ش محمود عبد العزيز - المنيرة الغربية,N/A
اسماك بحرى,الجيزة.,البدرشين,9 ش عمرو بن العاص,N/A
اسماك بحرى,الاسماعيلية.,جبل مريم,طريق البلاجات,N/A
اسماك بحرى,الغربية.,طنطا,"ش حسن رضوان, برج الايمان",N/A
اسماك بحرية,القاهرة.,القاهرة الجديدة,"الحى الثانى - المنطقة الخامسة, التجمع الخامس",N/A
اسماك بحرية,الجيزة.,الهرم,"7 ش سيدى عمار, العمرانية الشرقية",N/A
اسماك بحرية,الجيزة.,الهرم,"8 ش سيدى عمار, العمرانية الغربية",N/A
اسماك بحيرة قارون,الجيزة.,السادس من اكتوبر,"., الحى 12",N/A
اسماك بحيرة قارون,الجيزة.,السادس من اكتوبر,"., الحى 11",N/A
اسماك بدر الخورانى,الجيزة.,فيصل,43 ش احمد ماهر,N/A
اسماك براكودا,بنى سويف.,بنى سويف,حى الزهور,N/A
اسماك برغش,الساحل الشمالى. جميع الفروع❯,مارينا,", منطقة سى جل - مارينا 2",N/A
اسماك بلبل,القاهرة.,المنيل,96 ش المنيل,N/A
اسماك بلدنا,الجيزة.,الجيزة,ش سعد زغلول,N/A
اسماك بندق,الاسكندرية.,سموحة,ش النصر,N/A
اسماك بورسعيد,القاهرة.,شبرا,20 ش ابو طاقية,N/A
اسماك بورسعيد,الجيزة.,بولاق الدكرور,ش ناهية,N/A
اسماك بورسعيد,الجيزة.,امبابة,"37 ش الكمال, تقاطع ش ترعة السواحل",N/A
اسماك بيتشو,القاهرة.,المعادى,"51 عمارات بيتشو امريكان سيتى, المرحلة الاولى, زهراء المعادى",N/A
اسماك تبارك,القاهرة.,مدينة نصر,35 ش اسماعيل اللبان,N/A
اسماك تبارك,القاهرة.,الزيتون,ش محمد العتريس,N/A
اسماك تبارك,القاهرة.,مصر الجديدة,"15 ش الصومال, الكوربة",N/A
اسماك تبارك,القاهرة.,حلوان,"7 ش د. زكى حواس, تقاطع ش صالح صبحى",N/A
اسماك تبارك,الشرقية.,كفر صقر,ش المستشفى,N/A
اسماك تبارك,القليوبية.,الخصوص,51 ش الخصوص العمومى,N/A
اسماك توتو,الاسكندرية.,العصافرة بحرى,ش بلهارس متفرع من ش جمال عبد الناصر,N/A
اسماك تيبا روز,القاهرة.,مصر الجديدة,"سور دار الدفاع الجوي ش النزهة, ارض الجولف",N/A
اسماك جابر,الجيزة.,فيصل,382 ش فيصل,N/A
اسماك جاردنيا,الجيزة.,الهرم,"198 ب ش العشرين, حدائق الاهرام",N/A
اسماك جحا,القاهرة.,عين شمس الشرقية,103 ش ابراهيم عبد الرازق,N/A
اسماك جزيرة الملكة,الاسكندرية.,بحرى,46 ش صفر باشا,N/A
اسماك جمبرينو,القاهرة.,المعادى,"12 ابراج بدر الطريق الدائرى, زهراء المعادى",N/A
اسماك جمبرينو ايه اند ام,الجيزة. جميع الفروع❯,الدقى,11 ش المساحة,N/A
اسماك جندوفلى العالمية,الاسكندرية.,سيدى بشر,79 ش خالد بن الوليد,N/A
اسماك جودى,الجيزة.,الهرم,"12 ش جمال الدين الافغانى, العمرانية الغربية",N/A
اسماك جومانا,الساحل الشمالى.,مارينا,السوق التجارى - المنطقة السابعة - مارينا 1,N/A
اسماك جوهرة الطالبية,الجيزة.,الهرم,"11 ش عثمان محرم, الطالبية",N/A
اسماك جوهرة العيسوى,الاسكندرية.,سيدى بشر,ش العيسوى,N/A
اسماك حبيبة وبلال,الجيزة.,فيصل,ش جلال,N/A
اسماك حدائق اكتوبر,الجيزة.,السادس من اكتوبر,", كمباوند بارادايس",N/A
اسماك حربى,الاسكندرية.,البيطاش,ش البيطاش,N/A
اسماك حصان البحر,القاهرة.,مصر الجديدة,52 عمارة اللحيمى - ش احمد زكى ميدان النزهة,N/A
اسماك حلوان,القاهرة.,حلوان,13 ش منصور,N/A
اسماك حمادة,الجيزة.,فيصل,ش العشرين,N/A
اسماك حمو,القاهرة.,مدينة قباء,19 ش ابراهيم الخليلى,N/A
اسماك حمو,القليوبية.,شبرا الخيمة,29 ش 15 مايو,N/A
اسماك حمور,الجيزة.,الجيزة,45 أ ش ربيع الجيزى,N/A
