hotel_ar,hotel_en,governorate,city,rating
كلوب راس سومة -روبنسون راس سومة,CLUB RAS SOMA HOTEL,البحر الأحمر,سفاجا,
كاسكيدز,CASCADES HOTEL,البحر الأحمر,سفاجا,
بانانا بيتش,BANANA BEACH VILLAGE,جنوب سيناء,رأس سدر,
باراديز,PARADISE HOTEL,جنوب سيناء,رأس سدر,
مون بيتش,MOON BEACH RESORT,جنوب سيناء,رأس سدر,
رويال بيتش,ROYAL BEACH RESORT,جنوب سيناء,رأس سدر,
ريفيرا بيتش 2,RIVIERA BEACH II,جنوب سيناء,رأس سدر,
هوليداى فانتازيا,HOLIDAY FANTASIA HOTEL,جنوب سيناء,رأس سدر,
جرين سدر,GREEN SUDR HOTEL,جنوب سيناء,رأس سدر,
قرية شاطئ الأميرة,AMIRA BEACH VILLAGE,جنوب سيناء,رأس سدر,
سندريلا بيتش كلوب,CINDERELLA BEACH HOTEL,البحر الأحمر,القصير,
المانجروف,MANGROVE VILLAGE,البحر الأحمر,القصير,
المخيم الفضى,SILVER CAMP HOTEL,البحر الأحمر,القصير,
روتس كامب,ROOTS CAMP,البحر الأحمر,القصير,
فنادير بيتش,FANADIR BEACH HOTEL,البحر الأحمر,القصير,
يوتوبيا بيتش كلوب,UTOPIA BEACH CLUB,البحر الأحمر,القصير,
شونى باي ريزورت,SHONI BAY RESORT,البحر الأحمر,مرسي علم,
روهانو,ROHANOU HOTEL,البحر الأحمر,القصير,
اوناتي بيتش ريزورت,ONATTI BEACH RESORT,البحر الأحمر,القصير,
كابانا,CABANA RESORT,البحر الأحمر,القصير,
سيرينا بيتش موفنبيك,MOVENPICK RESORT EL QUSEIR (Sirena Beach),البحر الأحمر,القصير,
فلامنكو ريزورت,FLAMENCO RESORT,البحر الأحمر,القصير,
"فلامنكو القصير "" بيتش """,FLAMENCO BEACH RESORT,البحر الأحمر,القصير,
"""ايبروتيل كوستا ماريس",IBEROTEL COSTA MARES,البحر الأحمر,مرسي علم,
راديسون ساس القصير,RADISSON BLU RESORT EL QUSEIR,البحر الأحمر,القصير,
دريمز بيتش,DREAMS BEACH RESORT,البحر الأحمر,القصير,
سى وورلد,SEA WORLD HOTEL,البحر الأحمر,القصير,
مخـــيم الفــيروزة,FAYRAUZET HOTEL,جنوب سيناء,نويبع,
ســـالي لانـــد,SALLY LAND HOTEL,جنوب سيناء,نويبع,
تــشــــــــــــاو نويبع,CIAO HOTEL,جنوب سيناء,نويبع,
مخيم شاطئ القلعة,CASTLE BEACH HOTEL,البحر الأحمر,نويبع,
مخـــيم بساطة,BASATA CAMP,البحر الأحمر,نويبع,
ســويــس كـــير,SWISSCARE RESORT,جنوب سيناء,نويبع,
ريجـينـا  نويـبـــــــع,REGINA NUWEIBA,جنوب سيناء,نويبع,
الصــــــــيـاديـن نويبع,EL SAYADEEN TOURISTIC VILLAGE,جنوب سيناء,نويبع,
كورال السياحية,CORAL NUWEIBA RESORT,جنوب سيناء,نويبع,
قريـة نويـبـــــــع,NUWEIBA RESORT,جنوب سيناء,نويبع,
ايــلاريــــا بيتش ريزورت نويبع,ELARIA BEACH RESORT,جنوب سيناء,نويبع,
اوازيس,oasis,البحر الأحمر,مرسي علم,
ترو بيتش ريزورت,True beach resort,البحر الأحمر,مرسي علم,
بيتش سفارى,Beach Safari,البحر الأحمر,مرسي علم,
ابو دباب دايفنج لودج,ABU DABBAB DIVING LODGE HOTEL,البحر الأحمر,مرسي علم,
وادى لحمى ازور,Wadi Lahmy Azur (marina benias),البحر الأحمر,مرسي علم,
شمس علم,SHAMS ALAM HOTEL,البحر الأحمر,مرسي علم,
أورينتال باى,ORIENTAL BAY MARSA ALAM HOTEL,البحر الأحمر,مرسي علم,
اكيونكس,EQUINOX HOTEL,البحر الأحمر,مرسي علم,
اميرالد لاجون,EMERALD LAGOON HOTEL,البحر الأحمر,مرسي علم,
سوليمار ريف,SOLYMAR REEF RESORT,البحر الأحمر,مرسي علم,
ثري كورنر سي بيتش ريزورت,THE THREE CORNERS SEA BEACH RESORT,البحر الأحمر,مرسي علم,
سوليتير,SOLITAIRE RESORT,البحر الأحمر,مرسي علم,
قرية شجره,SHAGRA VILLAGE,البحر الأحمر,مرسي علم,
مخيم البحر الأحمر لسفارى الجبال,Red Sea Camp for Mountain Safari,البحر الأحمر,مرسي علم,
بانسيه رويال جاردن,PENSEE ROYAL GARDEN HOTEL,البحر الأحمر,القصير,
"""مارينا فيو بورت غالب هوتيل",MARINA VIEW PORT GHALIB HOTEL,البحر الأحمر,مرسي علم,
لحمي باي,LAHAMI BAY RESORT,البحر الأحمر,مرسي علم,
جورجينا بيتش,GORGONIA BEACH RESORT,البحر الأحمر,مرسي علم,
دريم لاجون,DREAM LAGOON HOTEL,البحر الأحمر,مرسي علم,
بريكا باى,BRAYKA BAY HOTEL,البحر الأحمر,مرسي علم,
بلو ريف,BLUE REEF RESORT,البحر الأحمر,مرسي علم,
بلو لاجون,BLUE LAGOON RESORT,البحر الأحمر,مرسي علم,
بدويه,BADAWIA RESORT,البحر الأحمر,مرسي علم,
أكاسيا جاردنز,AKASSIA GARDEN'S HOTEL,البحر الأحمر,مرسي علم,
جاز دار المدينة,JAZ DAR EL MADINA RESORT,البحر الأحمر,مرسي علم,
جيما ريزورت,GEMMA RESORT,البحر الأحمر,مرسي علم,
كازامارى ريزورت ام اف,CASA MARE RESORT MF,البحر الأحمر,مرسي علم,
ثري كورنرز الفيرز بلازا,THE THREE CORNERS FAYROUZ PLAZA RESORT,البحر الأحمر,مرسي علم,
شتايجنبرجر كورايا بيتش,STEIGENBERGER CORAYA BEACH,البحر الأحمر,مرسي علم,
بورتو فينو ريزورت,PORTOFINO RESORT,البحر الأحمر,مرسي علم,
مارينا لودج بورت غالب,MARINA LODG PORT GHALIB HOTEL,البحر الأحمر,مرسي علم,
كهرمانه,KAHRAMANA RESORT,البحر الأحمر,مرسي علم,
جاز سولايا,JAZ SOLAYA RESORT,البحر الأحمر,مرسي علم,
جاز جراند,JAZ GRAND RESORT,البحر الأحمر,مرسي علم,
هابي لايف ريزورت,HAPPY LIFE RESORT,البحر الأحمر,مرسي علم,
فانتازيا ريزورت,FANTAZIA RESORT,البحر الأحمر,مرسي علم,
الفيستون,ELPHISTONE RESORT,البحر الأحمر,مرسي علم,
منتجع المالكية السياحى,EL MALIKIA RESORT,البحر الأحمر,مرسي علم,
وسبا كونكورد مورين بيتش,CONCORDE MOREEN BEACH RESORT&SPA,البحر الأحمر,مرسي علم,
كازابلو ريزورت ام اف,CASA BLUE RESORT MF,البحر الأحمر,مرسي علم,
أكاسيا سويس ريزورت,AKASSIA SWISS RESORT,البحر الأحمر,مرسي علم,
ساتايا مرسى علم,SATAYA RESORT,البحر الأحمر,مرسي علم,
نوفتيل مرسى علم,NOVOTEL MARSA ALAM,البحر الأحمر,مرسي علم,
لازولى مرسى علم,LAZULI MARSA ALAM,البحر الأحمر,مرسي علم,
جاز مرايا,JAZ MARAYA HOTEL,البحر الأحمر,مرسي علم,
هيلتون مرسي علم نوبيان ريزورت,HILTON MARSA ALAM NUBIAN RESORT,البحر الأحمر,مرسي علم,
بورت غالب IHG ريزورت,PORT GHALIB RESORT,البحر الأحمر,مرسي علم,
جاز لامايا,JAZ LAMAYA HOTEL,البحر الأحمر,مرسي علم,
ثري كورنرز تراس هوتيل,THE THREE CORNERS TERRACE,البحر الأحمر,الغردقة,
رويال,Royal,البحر الأحمر,الغردقة,
صن أند سي,SUN & SEA HOTEL,البحر الأحمر,الغردقة,
الأقصر,LUXOR HOTEL,البحر الأحمر,الغردقة,
لابيرلا,LA PERLA HOTEL,البحر الأحمر,الغردقة,
الجيسوم,GEISUM HOTEL,البحر الأحمر,الغردقة,
الجزيرة,EL GEZIRAH HOTEL,البحر الأحمر,الغردقة,
إيفل,EIFFEL HOTEL ( Oscar),البحر الأحمر,الغردقة,
لاميرا,LAMERA HOTEL,البحر الأحمر,الغردقة,
جولدن روز,GOLDEN ROSE HOTEL,البحر الأحمر,الغردقة,
ايلاريا,ELARIA HOTEL,البحر الأحمر,الغردقة,
ذهبيه,ZAHABIA HOTEL,البحر الأحمر,الغردقة,
شدوان جاردن,SHEDWAN GARDEN HOTEL,البحر الأحمر,الغردقة,
سى فيو فرانكفورت,SEA VIEW HOTEL,البحر الأحمر,الغردقة,
سى جاردن,SEA GARDEN HOTEL,البحر الأحمر,الغردقة,
السمكة,SAMAKA HOTEL,البحر الأحمر,الغردقة,
سانتا ماريا,SAINT MARY HOTEL,البحر الأحمر,الغردقة,
روما,ROMA HOTEL,البحر الأحمر,الغردقة,
أولد فيك,OLD VICK HOTEL,البحر الأحمر,الغردقة,
نسمة الآمل,NESMAT AMAL,البحر الأحمر,الغردقة,
الباشا,LE PACHA HOTEL,البحر الأحمر,الغردقة,
جراند اوتيل,GRAND HOTEL,البحر الأحمر,الغردقة,
الدابي,EL DABI HOTEL,البحر الأحمر,الغردقة,
ديانا,DIANA HOTEL,البحر الأحمر,الغردقة,
وايفز ريزورت,WAVES RESORT,البحر الأحمر,الغردقة,
سكاى فيو,SKY VIEW HOTEL,البحر الأحمر,الغردقة,
مارينا بريزيدنت,MARINA PRESIDENT HOTEL,البحر الأحمر,الغردقة,
مكادي جاردن ريزورت,MAKADI GARDEN RESORT,البحر الأحمر,الغردقة,
ايفورى سويتس,IVORY SUITES,البحر الأحمر,الغردقة,
فاميلى ستار,FAMILY STAR HOTEL,البحر الأحمر,الغردقة,
ثرى كورنر امباير هوتيل,THE THREE CORNERS EMPIRE HOTEL,البحر الأحمر,الغردقة,
صنى بيتش,SUNNY BEACH HOTEL,البحر الأحمر,الغردقة,
سفنكس اكوا بارك,SPHINX AQUA PARK,البحر الأحمر,الغردقة,
سندباد أكوا بارك,SINDBAD AQUA PARK,البحر الأحمر,الغردقة,
سندباد اكوا بارك هوتيل,SINDBAD AQUA PARK HOTEL,البحر الأحمر,الغردقة,
سى لاند,SEA LAND HOTEL,البحر الأحمر,الغردقة,
سى هورس,SEA HORSE HOTEL,البحر الأحمر,الغردقة,
صحارا,SAHARA HOTEL,البحر الأحمر,الغردقة,
رويال ستار بيتش ريزورت,ROYAL STAR BEACH RESORT,البحر الأحمر,الغردقة,
ريجينا ريزورت,REGINA RESORT,البحر الأحمر,الغردقة,
بالما دى ميريت,PALMA DE MIRETTE RESORT,البحر الأحمر,الغردقة,
ميريت,MIRETTE HOTEL,البحر الأحمر,الغردقة,
مينا مارك,MINA MARK HOTEL,البحر الأحمر,الغردقة,
ميركيور الغردقة,MERCURE HURGHADA HOTEL,البحر الأحمر,الغردقة,
مارلين ان,MARLIN INN RESORT,البحر الأحمر,الغردقة,
ماجيك بيتش,MAGIC BEACH HOTEL,البحر الأحمر,الغردقة,
للى لاند,LILLY LAND HOTEL,البحر الأحمر,الغردقة,
لابراندا كلوب مكادى,Labranda Club Makadi,البحر الأحمر,الغردقة,
كينج توت,KING TUT HOTEL,البحر الأحمر,الغردقة,
الياسمين,JASMINE VILLAGE,البحر الأحمر,الغردقة,
سى جل الغردقة,HURGHADA SEAGULL,البحر الأحمر,الغردقة,
هورجادا جولدن بيتش,HURGHADA GOLDEN BEACH,البحر الأحمر,الغردقة,
هورايزون,HORIZON HOTEL,البحر الأحمر,الغردقة,
هاواى سيزار بالاس هوتيل اكوا بارك,HAWAI RIVIERA AQUA PARK RESORT,البحر الأحمر,الغردقة,
هاواى لوجاردان اكوا بارك,HAWAI LE JARDIN AQUA PARK RESORT,البحر الأحمر,الغردقة,
آلما باى,ALMA BAY,البحر الأحمر,الغردقة,
منتجع جراند,GRAND RESORT,البحر الأحمر,الغردقة,
جراند بيتش,GRAND BEACH,البحر الأحمر,الغردقة,
جولدن إيجيبت,GOLDEN EGYPT HOTEL,البحر الأحمر,الغردقة,
إيروتيل بالم بيتش,EUROTEL PALM BEACH RESORT,البحر الأحمر,الغردقة,
الآليزية,ELYSEES HOTEL,البحر الأحمر,الغردقة,
الجفتون,EL GIFTUN HOTEL,البحر الأحمر,الغردقة,
دايموند,DIAMOND RESORT,البحر الأحمر,الغردقة,
دافنشى,DAVINCI HOTEL,البحر الأحمر,الغردقة,
كورال بيتش,CORAL BEACH HOTEL,البحر الأحمر,الغردقة,
بوسيك اوتيل,BOSQUE HOTEL (Gardenia),البحر الأحمر,الغردقة,
بلاجيو بيتش ريزورت,BELLAGIO BEACH RESORT,البحر الأحمر,الغردقة,
بل اير,BEL AIR HOTEL,البحر الأحمر,الغردقة,
عربية,ARABIA HOTEL,البحر الأحمر,الغردقة,
آرابيلا,ARABELLA HOTEL,البحر الأحمر,الغردقة,
إيه أم سي هوتيل,AMC HOTEL,البحر الأحمر,الغردقة,
إخناتون بيلا فيستيا,AKHNATON BELLA VISTA,البحر الأحمر,الغردقة,
تيتانك السياحية,Titanic Resort,البحر الأحمر,الغردقة,
صن رايز اكوا جوى,SUNRISE AQUA JOY RESORT,البحر الأحمر,الغردقة,
ستيلا مكادي 2,STELLA MAKADI II RESORT,البحر الأحمر,الغردقة,
شدوان,SHEDWAN RESORT,البحر الأحمر,الغردقة,
جاز مكادينا,JAZ MAKADINA RESORT,البحر الأحمر,الغردقة,
جاز مكادي سرايا,JAZ MAKADI SARAYA,البحر الأحمر,الغردقة,
جاز مكادى سرايا بالمز,Jaz Makadi Saraya Palms,البحر الأحمر,الغردقة,
جاز مكادى اوازيس ريزورت,JAZ MAKADI OASIS RESORT,البحر الأحمر,الغردقة,
مكادي جاردن ريزورت,Makadi Gardens Resort,البحر الأحمر,الغردقة,
جاز مكادى جاردنز,Jaz Makadi Gardens Resort,البحر الأحمر,الغردقة,
جاز مكادى بلو,Jaz Makadi Blue Resort,البحر الأحمر,الغردقة,
الياسمين بالاس,JASMIN PALACE RESORT,البحر الأحمر,الغردقة,
ايبروتيل مكادى بيتش,Iberotel Makadi Beach Resort,البحر الأحمر,الغردقة,
هاواى سيزار بالاس هوتيل اكوا بارك,Hawai Caesar Palace Aqua Park Resort,البحر الأحمر,الغردقة,
جرافيتى سهل حشيش,GRAVITY SAHL HASHEESH,البحر الأحمر,الغردقة,
كيفز,CAVES RESORT,البحر الأحمر,الغردقة,
الباتروس اكوا بارك,AlBATROS AQUA PARK RESORT,البحر الأحمر,الغردقة,
علاء الدين بيتش,ALADDIN BEACH RESORT,البحر الأحمر,الغردقة,
تيتانيك بالأس,TITANIC PALACE HOTEL,البحر الأحمر,الغردقة,
تيتانيك بيتش,TITANIC BEACH RESORT,البحر الأحمر,الغردقة,
تيا هايتس مكادى باى,TIA HEIGHTS MAKADI BAY,البحر الأحمر,الغردقة,
ديزرت روز -وردة الصحراء,DESERT ROSE RESORT,البحر الأحمر,الغردقة,
تاج محل,TAJ MAHAL HOTEL,البحر الأحمر,الغردقة,
صن وينج ووتر وورلد,SUNWING WATERWORLD HOTEL,البحر الأحمر,الغردقة,
ستيلا مكادى,STELLA MAKADI HOTEL,البحر الأحمر,الغردقة,
سيرى بيتش ريزورت,Serry Beach Resort,البحر الأحمر,الغردقة,
سرينتى مكادى هايتس,SERENITY MAKADI HEIGHTS,البحر الأحمر,الغردقة,
سى ستار بوريفاج,SEA STAR BEAU RIVAGE,البحر الأحمر,الغردقة,
سمرا باي,SAMRA BAY HOTEL,البحر الأحمر,الغردقة,
منتجع رويال لاجونز,ROYAL LAGOONS RESORT,البحر الأحمر,الغردقة,
بيراميزا سهل حشيش,PYRAMISA SAHL HASHISH HOTEL,البحر الأحمر,الغردقة,
بريما لايف,PRIMA LIFE RESORT,البحر الأحمر,الغردقة,
بور ميريت,PORT MIRETTE,البحر الأحمر,الغردقة,
الفرعون ازور,PHARAOH AZUR HOTEL,البحر الأحمر,الغردقة,
القصر القديم,OLD PALACE HOTEL,البحر الأحمر,الغردقة,
نوبيا,NUBIA HOTEL,البحر الأحمر,الغردقة,
المملوك بالاس,MAMLOUK PALACE HOTEL,البحر الأحمر,الغردقة,
مكادي صبا,MAKADI SPA HOTEL,البحر الأحمر,الغردقة,
مكادى بالاس,MAKADI PALACE HOTEL,البحر الأحمر,الغردقة,
لونج بيتش,LONG BEACH HOTEL,البحر الأحمر,الغردقة,
لابراندا رويال مكادى,Labranda Royal Makadi,البحر الأحمر,الغردقة,
كاى صول رومانس,KaiSol Romance Hotel,البحر الأحمر,الغردقة,
جاز مكادى ستار أند سبا,JAZ MAKADI STAR & SPA RESORT,البحر الأحمر,الغردقة,
هوليدايز,HOLIDAYS HOTEL,البحر الأحمر,الغردقة,
جراند مكادى,GRAND MAKADI HOTEL,البحر الأحمر,الغردقة,
جولدن فايف,GOLDEN 5 HOTEL,البحر الأحمر,الغردقة,
بلوباى بيتش فورت ارابيسك,FORT ARABESQUE BLUE BAY,البحر الأحمر,الغردقة,
كليوباترا للمنتجعات الفاخرة,CLEOPATRA LUXURY HOTEL,البحر الأحمر,الغردقة,
قرية علي بابا,ALI BABA VILLAGE,البحر الأحمر,الغردقة,
الف ليله وليله نيفر لاند 2,Alf Leila Wa Leila Neverland 2,البحر الأحمر,الغردقة,
الماس بالاس,AL MAS PALACE HOTEL,البحر الأحمر,الغردقة,
وايت بيتش,WHITE BEACH RESORT,البحر الأحمر,الغردقة,
شتاجنبرجر مكادي,Steigenberger Makadi Resort,البحر الأحمر,الغردقة,
شتايجنبرجر أكوا ماجيك,Steigenberger Aqua Magic Resort,البحر الأحمر,الغردقة,
تيتانيك رويال,TITANIC ROYAL,البحر الأحمر,الغردقة,
جنجل أكوا بارك نيفر لاند,Jungle Aqua Park Neverland Resort,البحر الأحمر,الغردقة,
جاز كازا دلمار,JAZ CASA DEL MAR RESORT,البحر الأحمر,الغردقة,
جاز اكوا فيفا,JAZ AQUAVIVA RESORT,البحر الأحمر,الغردقة,
جاز اكوا مارينا,JAZ AQUAMARINE RESORT,البحر الأحمر,الغردقة,
هيلتون بلازا,HILTON PLAZA RESORT,البحر الأحمر,الغردقة,
هاواى باراديس اكوا بارك ريزورت,Hawai Paradise Aqua Park Resort,البحر الأحمر,الغردقة,
جراند بالاس,GRAND PALACE RESORT,البحر الأحمر,الغردقة,
بلو سبا,BLU SPA RESORT,البحر الأحمر,الغردقة,
بيتش الباتروس,BEACH ALBATROS RESORT,البحر الأحمر,الغردقة,
اكوابلو اكوافيستا,Aqua Blue Aqua Vista Resort,البحر الأحمر,الغردقة,
الباتروس بالأس,ALBATROS PALACE RESORT,البحر الأحمر,الغردقة,
تروبيتل سهل حشيش,TROPITEL SAHL HASHISH HOTEL,البحر الأحمر,الغردقة,
اوبروى سهل حشيش,THE OBEROI SAHL HASHISH,البحر الأحمر,الغردقة,
صن رايز كريستال باى,SUNRISE CRYSTAL BAY RESORT,البحر الأحمر,الغردقة,
شتايجنبرجر الداو بيتش,STEIGENBERGER AL DAU BEACH,البحر الأحمر,الغردقة,
صن رايز رويال مكادى,SUN RISE ROYAL MAKADI RESORT,البحر الأحمر,الغردقة,
منتجع سويس ان الغردقة,Swiss Inn Resort Hurghada,البحر الأحمر,الغردقة,
جاردن بيتش,GARDEN BEACH RESORT,البحر الأحمر,الغردقة,
منتجع كونتيننتال الغردقة,CONTINENTAL HURGHADA RESORT,البحر الأحمر,الغردقة,
ريكسوس بريميوم مجاويش,Rixos Premium Magawish Resort,البحر الأحمر,الغردقة,
بريمير لوريف,PREMIER LE REVE RESORT,البحر الأحمر,الغردقة,
دانا بيتش,DANA BEACH RESORT,البحر الأحمر,الغردقة,
البارون بالاس,BARON PALACE RESORT,البحر الأحمر,الغردقة,
الباتروس سيتادل,ABATROS CITADEL RESORT,البحر الأحمر,الغردقة,
بانوراما بانجلوز ريزورت الجونة,Panorama Bungalows Resort El Gouna,البحر الأحمر,الجونة,
ترتيلز أن,TURTLE'S INN HOTEL,البحر الأحمر,الجونة,
موازييك,MOSAIQUE HOTEL,البحر الأحمر,الجونة,
فنادير,FANADIR HOTEL,البحر الأحمر,الجونة,
كابتن ان,CAPTAIN'S INN HOTEL,البحر الأحمر,الجونة,
علي باشا,ALI PASHA HOTEL,البحر الأحمر,الجونة,
سلطان بك,SULTAN BEY HOTEL,البحر الأحمر,الجونة,
ثري كورنرز ريحانه ريزورت,The Three Corners Rihana Resort,البحر الأحمر,الجونة,
دوار العمدة,DAWAR EL OMDA HOTEL,البحر الأحمر,الجونة,
كوكس كلوب,Cook’s Club Resort,البحر الأحمر,الجونة,
انشنت ساند,ANCIENT SANDS HOTEL,البحر الأحمر,الجونة,
أوشن فيو ثرى كورنر,OCEAN VIEW THREE CORNERS,البحر الأحمر,الجونة,
موفنبيك الجونة,MOVENPICK EL GOUNA,البحر الأحمر,الجونة,
كلوب باراديسيو,CLUB PARADISIO HOTEL,البحر الأحمر,الجونة,
شيدى الجونة,The Chedi El Gouna Resort,البحر الأحمر,الجونة,
كازا كوك,CASA COOK RESORT,البحر الأحمر,الجونة,
شتايجن بيرجر الجولف ريزورت,STEIGENBERGER GOLF RESORT,البحر الأحمر,الجونة,
شيراتون ميرامارالجونة,Sheraton Miramar El Gouna,البحر الأحمر,الجونة,
لاميزون بلو,La Maison Bleue Boutique,البحر الأحمر,الجونة,
سارة,SARAH CAMP,جنوب سيناء,دهب,
لاجونا دهب,LAGONA VILLAGE DAHAB,جنوب سيناء,دهب,
ديارنا,DYARNA DAHAB HOTEL,جنوب سيناء,دهب,
القمر البدوى,BEDOUIN MOON HOTEL,جنوب سيناء,دهب,
اميجو دهب,AMIGO RESORT DAHAB,جنوب سيناء,دهب,
نيو نسيمة,NEW NESIMA RESORT,جنوب سيناء,دهب,
لارين دهب,LA REINE DAHAB HOTEL,جنوب سيناء,دهب,
مخيم انمو,INMO HOTEL,جنوب سيناء,دهب,
بلو بيتش,BLUE BEACH HOTEL,جنوب سيناء,دهب,
روكيتا,ROCKETA HOTEL,جنوب سيناء,دهب,
اوريكانا,ORICANA HOTEL,جنوب سيناء,دهب,
جنة سينا,GANET SINAI HOTEL,جنوب سيناء,دهب,
دانيلا دهب,DANIELA DAHAB VILLAGE,جنوب سيناء,دهب,
كورال كوست,CORAL COAST HOTEL,جنوب سيناء,دهب,
كريستينا بيتش بالاس,CHRISTINA BEACH PALACE HOTEL,جنوب سيناء,دهب,
سويس ان,SWISS INN RESORT DAHAB,جنوب سيناء,دهب,
دهب باراديز,DAHAB PARADISE RESORT,جنوب سيناء,دهب,
اكاسيا,ACACIA HOTEL,جنوب سيناء,دهب,
تروبيتال واحة دهب,TROPITEL DAHAB OASIS RESORT,جنوب سيناء,دهب,
باندا ريزورت,PANDA RESORT,جنوب سيناء,دهب,
هابى لايف,HAPPY LIFE HOTEL,جنوب سيناء,دهب,
جاز دهبية,JAZ DAHABEYA RESORT,جنوب سيناء,دهب,
ايكو تيل دهب باى فيو ريزورت اند سبا,Ecotel Dahab Bay View Resort,جنوب سيناء,دهب,
قرية دهب السياحية,Dahab Touristic Village (tirana dahab),جنوب سيناء,دهب,
سفير دهب ريزورت,SAFIR DAHAB RESORT,جنوب سيناء,دهب,
مريديان دهب,LE MERIDIEN DAHAB RESORT & SPA,جنوب سيناء,دهب,
بورتو ساوس بيتش,Porto South Beach,السويس,العين السخنة,
بورتريه السخنة,EL SOKHNA PORTRAIT HOTEL,السويس,العين السخنة,
اميجو ريزورت 2,AMIGO RESORT II,السويس,العين السخنة,
واحة مينا,MENA OASIS HOTEL,السويس,العين السخنة,
مارنا وادى دجلة,MARINA WADI DEGLA HOTEL,السويس,العين السخنة,
جيت بيتش,JET BEACH RESORT,السويس,العين السخنة,
الوادى,EL WADI HOTEL,السويس,العين السخنة,
بلو مار الدوم,BLUMAR EL DOME HOTEL,السويس,العين السخنة,
رومانس بيتش ريزورت,ROMANCE Beach RESORT,السويس,العين السخنة,
ريتال فيو,RETAL VIEW HOTEL,السويس,العين السخنة,
بالميرا,PALMERA RESORT,السويس,العين السخنة,
مارينا وادى الدوم,DOME MARINA HOTEL,السويس,العين السخنة,
كانكون,CANCUN HOTEL,السويس,العين السخنة,
الماونتن بارك,MOUNTAIN PARK CAMP,السويس,العين السخنة,
الجبل,EL JABAL BOUTIQUE,السويس,العين السخنة,
بورتو السخة,PORTO SOKHNA RESORT,السويس,العين السخنة,
بلان اوتيل سى كلوب,PLAN SEA CLUB RESORT,السويس,العين السخنة,
جاز ليتل فينس,JAZ LITTLE VENICE RESORT,السويس,العين السخنة,
بستان السخنة,BOSTAN AL SOKHNA RESORT ( Coral Sea),السويس,العين السخنة,
ستيلا دى مارى,STELLA DI MARE RESORT,السويس,العين السخنة,
جولف ستيلا دي مارى,STELLA DI MARE GOLF RESORT,السويس,العين السخنة,
العين ريزورت 1 ادارة موفنبيك,El EIN RESORT1 - MOVENPICK,السويس,العين السخنة,
تيدا,TEDA HOTEL,السويس,العين السخنة,
تان اوك,TANOAK HOTEL,السويس,العين السخنة,
لاسرينا 2,,السويس,العين السخنة,
جراند اوشن,GRAND OCEAN HOTEL,السويس,العين السخنة,
الفنار,EL FANAR HOTEL,السويس,العين السخنة,
مارينا,MARINA HOTEL,الشرقية,,
ميريتا العاشر,MIRITA HOTEL,الشرقية,العاشر من رمضان,
بانوراما الدلتا,PANORAMA DELTA HOTEL,الغربية,طنطا,
عرفه الجديد,NEW ARAFA HOTEL,الغربية,طنطا,
