name,location,opening_time,closing_time,price_adult_foreign,price_student_foreign,reservation_link,description,url
متحف تل بسطا,"الشرقية
منطقة آثار تل بسطا، الزقازيق",9 ص,6 م صيفّا، من 9 ص,N/A,N/A,None,"يُعد متحف تل بسطا متحف موقع يحتضن الكنوز الأثرية الموجودة بمحافظة الشرقية وعرضها للزائرين لرفع الوعي الأثري لديهم. بدأت فكرة إنشاء المتحف عام 2006، لكن جميع الأعمال توقفت به عام 2010، واستؤنفت مرة أخرى عام 2017 حتى تم افتتاحه عام 2018.
يتكون المتحف من طابق واحد يعرض مجموعة رائعة من تماثيل المعبودات المصرية القديمة، من أهمها تمثال المعبودة باستت والتي كانت المعبودة الرئيسية للمنطقة، أدوات الحياة اليومية والزينة، وتماثيل التراكوتا المصنوعة من الطينة المحلية والتي اشتهرت في العصرين اليوناني والروماني، فضلاً عن مجموعة من العملات والحلي وأدوات الإضاءة كالمسارج وأدوات الزينة التي تعكس مظاهر الحياة اليومية في مصر عبر العصور المختلفة.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%AA%D9%84-%D8%A8%D8%B3%D8%B7%D8%A7/
المتحف المصري بالتحرير,"القاهرة
شارع مارييت، ميدان التحرير",9 ص,5 م,EGP 550,EGP 275,https://egymonuments.com/details/EgyptianMuseum,"يُعد المتحف المصري بالتحرير أحد المعالم التاريخية والسياحية بالقاهرة، فهو أقدم متحف أثري في الشرق الأوسط، وأول مبنى ينشأ في العالم ليكون متحفاً. بدأت فكرة إنشائه عام 1895، حين فاز المعماري الفرنسي مارسيل دورنيو بالمسابقة الدولية التي تم إقامتها لتصميم مبنى المتحف، وافتتحه الخديوي عباس حلمي الثاني عام 1902. وفي أبريل 2021، كان المتحف محط أنظار العالم حين ودع 22 مومياء ملكية لتُنقل إلى مكان عرضها الدائم بالمتحف القومي للحضارة المصرية بالفسطاط في موكب مهيب.
يتسم تصميم مبنى المتحف بالطابع الكلاسيكي الحديث، ويتكون من طابقين يضمان مجموعات متميزة من الآثار المصرية تمتد من فترة ما قبل الأسرات وحتى العصرين اليوناني والروماني، من بينها لوحة الملك نعرمر التي تُخلد توحيد مصر العليا والسفلى تحت حكم ملك واحد، ومجموعة من التماثيل والقطع الأثرية لملوك عصر بناة الأهرامات، والمجموعة الجنائزية ليويا وتويا الملك جدي الملك إخناتون، وكنوز تانيس، بالإضافة إلى مجموعة كبيرة من مومياوات الحيوانات، وورق البردي والتوابيت والحلي من مختلف العصور المصرية، وغيرها من القطع الأثرية التي تُكمل المجموعة المميزة لهذا المتحف.
ويتم حالياً تنفيذ مشروع تطوير المتحف المصري بالتحرير من خلال اللجنة العلمية المصرية، وأمناء المتحف، بمنحة من الاتحاد الأوروبي بالتعاون مع خمسة متاحف أوروبية وهي اللوفر بباريس، المصري بتورين، القومي للآثار بلايدن، المصري ببرلين، البريطاني بلندن. ويعزز المتحف التفاعل مع زواره وتعريفهم بكل ما هو جديد من أخبار وفعاليات وأنشطة ثقافية وعلمية، وورش عمل عبر موقعه الرسمي على شبكة الإنترنت.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D8%A8%D8%A7%D9%84%D8%AA%D8%AD%D8%B1%D9%8A%D8%B1/
متحف جاير أندرسون,"القاهرة
ميدان أحمد بن طولون، السيدة زينب",9 ص,5 م,EGP 100,EGP 50,https://egymonuments.com/details/GayerAndersonMuseum,"يُعد متحف جاير أندرسون من أهم المعالم الأثرية الإسلامية في مصر، والتي تتميز بتصميمها المعماري الشرقي. كان المتحف في الأصل عبارة عن منزلين منفصلين تم بنائهما خلال العصر العثماني بجوار بعضهما البعض. شيد المنزل الأول المعلم عبد القادر الحداد عام 1540، وكانت السيدة آمنه بنت سالم آخر من امتلكته، أما المنزل الثاني فشيده الحاج محمد بن سالم بن جلمام الجزار عام 1631، وتعاقبت على سكنه أسر مختلفة حتى سكنته سيدة من جزيرة كريت فعُرف باسم بيت الكريتلية نسبة إليها. وفي عام 1935، سكن المنزلين الضابط الإنجليزي جاير أندرسون، وربطهما ببعضهما البعض عن طريق ممر.
بدأت فكرة إنشاء المتحف عام 1942، حين غادر جاير أندرسون مصر، واهباً المنزل ومجموعاته الأثرية النادرة التي جمعها على مدار حياته من مختلف العصور والأقطار، إلى لجنة حفظ الآثار العربية. يتكون المتحف من عدد من القاعات المجهزة بأثاث من نفس طراز القاعة فمنها الأندلسية والدمشقية والصينية، بالإضافة إلى مجموعة قاعات تتبع عمارة المنزل منها الحرملك، والسلاملك، والاحتفالات وغيرها.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%AC%D8%A7%D9%8A%D8%B1-%D8%A3%D9%86%D8%AF%D8%B1%D8%B3%D9%88%D9%86/
متحف المركبات الملكية,"القاهرة
شارع 26 يوليو، بولاق أبو العلا",9 ص,5 م,EGP 300,EGP 150,https://egymonuments.com/details/RoyalChariotsMuseum,"يُعد متحف المركبات الملكية أحد أعرق المتاحف النوعية على مستوى العالم، حيث هُيئ خصيصاً لعرض وحفظ التراث الثقافي الخاص بالمركبات الملكية التي ترجع لعصر أسرة محمد علي وكل ما يتعلق بها، كما يسلط الضوء على الاهتمام برعاية الخيول خلال هذه الفترة بمصر.
ترجع فكرة إنشاء المتحف إلى عهد الخديوي إسماعيل، فيما بين عامي 1863 و1879، فكان أول من بدأ في إنشاء مبنى خاص بالمركبات الخديوية والخيول، ثم أصبحت مصلحة للركائب الملكية، تحولت فيما بعد إلى متحف للمركبات الملكية بعد عام 1952. تم إغلاق المتحف في ثمانينيات القرن الماضي لتطويره وترميمه، وتعثرت الأعمال على مدار الأعوام التالية بعد الغلق، حتى عام 2017 حيث بدأ استئناف الأعمال به مرة أخرى، وتفضل فخامة رئيس الجمهورية بافتتاحه، عبر الفيديو كونفرانس، عام 2020.
تعتبر عربة الآلاي الكبرى الخصوصي من أشهر العربات المعروضة بالمتحف، والتي أهداها الإمبراطور نابليون الثالث وزوجته الإمبراطورة أوجيني للخديوي إسماعيل وقت افتتاح قناة السويس عام 1869. يضم المتحف أيضاً مجموعة من أطقم الخيول وإكسسواراتها، بالإضافة إلى الملابس الخاصة بالعاملين بمصلحة الركائب والذين ترتبط وظائفهم بالعربات، فضلاً عن مجموعة من اللوحات الزيتية للملوك والأميرات من نفس الفترة التاريخية.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%A8%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D9%84%D9%83%D9%8A%D8%A9/
المتحف القومي للحضارة المصرية,"القاهرة
الفسطاط، عين الصيرة",أيام السبت للخميس  9 ص,5 م، الجمعة من 9 ص,N/A,N/A,https://egymonuments.com/nmec,"يُعتبر المتحف القومي للحضارة المصرية المتحف الأول من نوعه في مصر والعالم العربي، فهو يُعد مجمعاً حضارياً عالمياً متكاملاً يُتيح لزائريه فرصة للإبحار في رحلة عبر التاريخ للتعرف على الحضارات المصرية المتعاقبة. بدأت فكرة إنشاء المتحف حين أعلنت منظمة الأمم المتحدة للتربية والعلم والثقافة (اليونسكو)، بُناءً على طلب الحكومة المصرية، عن حملة دولية لإنشاء متحف النوبة بأسوان، والمتحف القومي للحضارة المصرية بالقاهرة عام 1982. تم وضع حجر الأساس عام 2002 في قلب مدينة الفسطاط، أول وأقدم العواصم الإسلامية في أفريقيا، وذلك بعد فوز المهندس المعماري المصري في مسابقة معمارية دولية لتصميم المتحف. تعثرت أعمال الإنشاء حتى انتهت تماماً وتم افتتاح قاعة للعرض المؤقت عن الحرف المصرية عبر العصور المختلفة عام 2017، بحضور السيدة إيرينا بوكوفا مدير عام اليونسكو السابق، لتعكس أربع حرف هي: الفخار، الأخشاب، النسيج، والحلي. تم استكمال جميع التجهيزات الخاصة بالقاعات الأخرى للمتحف، وتفضل فخامة رئيس الجمهورية بافتتاح قاعة العرض المركزي واستقبال 22 مومياء ملكية تم نقلها من المتحف المصري بالتحرير في موكب مهيب عام 2021، كما تم افتتاح قاعة للنسيج المصري عام 2022. ويستضيف المتحف مدرسة الحضارة المصرية في سبتمبر 2022، والتي تهدف إلى زيادة الوعي السياحي والأثري لدى المواطنين، فضلاً عن تعريف الأجانب المقيمين بالحضارة المصرية القديمة.
يضم المتحف مجموعة متنوعة من القطع الأثرية تلقي الضوء على التراث المادي واللامادي لمصر، مما يساعد الزائرين على فهم الحضارة المصرية عبر عصورها المختلفة بداية من عصور ما قبل التاريخ مروراً بالعصر المصري القديم، اليوناني، الروماني، القبطي، الإسلامي، والعصر الحديث والمعاصر، كما يضم المتحف قاعة للمومياوات وقاعة للنسيج المصري.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D8%A7%D9%84%D9%82%D9%88%D9%85%D9%8A-%D9%84%D9%84%D8%AD%D8%B6%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9/
متحف النوبة,"أسوان
شارع الفنادق، أسوان",أيام السبت للأربعاء  9ص,5م، يومي الخميس والجمعة من 9ص,EGP 400,EGP 200,https://egymonuments.com/details/NubiaMuseum,"يُعد متحف النوبة من أهم المتاحف التاريخية الإقليمية في مصر وأشهر المعالم السياحية في أسوان. بدأت فكرة إنشاء المتحف وافتتاحه عام 1997 بواسطة منظمة اليونسكو، ليضم نتاج أعمال الحفائر في مناطق معابد النوبة مستعرضاً العادات والتقاليد واللغة النوبية منذ بداية عصور ما قبل التاريخ وحتى العصر الحديث.
تم تصميم مبنى المتحف على غرار المعمار التقليدي للقرية النوبية، وتم إنهاء التصميم بالحجر الرملي والجرانيت الوردي، وقد فاز المبني عام 2001 بجائزة أغاخان للعمارة. يتكون المتحف من ثلاثة طوابق تضم عدد من القطع الأثرية من أبرزها تمثال للملك رمسيس الثاني من عصر الأسرة التاسعة عشر، هيكل عظمي من عصر ما قبل التاريخ، عدد من الأسلحة الحديدية، تيجان مصنوعة من الفضة ومرصعة بالعقيق، سروج خيل، وحلي فضية، وأواني فخارية.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D9%86%D9%88%D8%A8%D8%A9/
متحف الشرطة القومي,"القاهرة
قلعة صلاح الدين، الخليفة",9 ص,5 م,N/A,N/A,None,"يُعد متحف الشرطة القومي أحد المتاحف التاريخية في مصر، لتخليد الدور الذي تؤديه الشرطة المصرية في الحفاظ على أمن وسلامة الوطن عبر العصور التاريخية المختلفة.
بدأت فكرة إنشاء المتحف وافتتاحه عام 1986، أثناء الاحتفال بذكرى عيد الشرطة، ثم تم إغلاقه للتطوير عام 2008، وأُعيد افتتاحه عام 2013.
يتكون المتحف من مبني واحد مقسم إلى عدد من القاعات التي تضم مقتنيات أثرية وصور تبرز جهود الشرطة المصرية ونضالها المتواصل منذ العصور المصرية القديمة وحتى العصر الحديث. كما تستعرض أدوات ومضبوطات الشرطة المصرية، وأهم المعارك، والاغتيالات السياسية، والجرائم الاجتماعية في العصر الحديث، بالإضافة إلى نماذج من الأسلحة التي استخدمها رجال الشرطة منذ العصر المملوكي وحتى العصر الحديث.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D8%A7%D9%84%D8%B4%D8%B1%D8%B7%D8%A9-%D8%A7%D9%84%D9%82%D9%88%D9%85%D9%8A/
متحف مطروح,"مطروح
شارع الكورنيش، مرسى مطروح",المواعيد الشتوية  9 ص,5 م، المواعيد الصيفية من 9 ص,N/A,N/A,None,"يُعد متحف مطروح القومي بانوراما لسرد التاريخ الحافل لمحافظة مطروح عبر العصور المختلفة، وتسليط الضوء على الاكتشافات الأثرية التي تمت بالمحافظة. بدأت فكرة إنشاء المتحف عام 2016، وقد بدأت التجهيزات داخل مكتبة مصر العامة بمدينة مرسى مطروح لإقامة المتحف بالتعاون مع المحافظة، وتفضل فخامة رئيس الجمهورية بافتتاحه، عبر الفيديو كونفرانس، عام 2018.
يحتل المتحف طابقين من المكتبة، خُصص الطابق الأول لعرض مجموعة من القطع الأثرية التي تُبرز إنجازات ملوك مصر خلال العصور المختلفة مثل تأمين الحدود، وإقامة القلاع والحصون بمنطقة الحدود الغربية. أما الطابق الثاني فيتكون من سبع قاعات تعرض عدداً من الموضوعات منها التجارة، الصيد، العالم الآخر، الحياة اليومية، الزينة، العلوم، والفن القبطي والإسلامي.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%85%D8%AA%D8%AD%D9%81-%D9%85%D8%B7%D8%B1%D9%88%D8%AD/
متحف قصر المنيل,"القاهرة
شارع السراي، منيل الروضة",9 ص,5 م,EGP 220,EGP 110,https://egymonuments.com/details/PrinceMohamedAliPalace,"يُعد قصر الأمير محمد علي أحد أجمل وأهم القصور التاريخية في مصر، فهو مدرسة فنية جامعة لعناصر الفنون الإسلامية المختلفة ليُمثل فترة هامة من تاريخ مصر الحديث. بدأت فكرة تحويل القصر إلى متحف بعد وفاة الأمير تحقيقاً لوصيته. تم إغلاق القصر عام 2005، وأعيد افتتاحه بعد الانتهاء من مشروع ترميمه عام 2015، كما أعيد افتتاح متحف الصيد بالقصر عام 2017.
شيد قصر الأمير محمد علي توفيق نجل الخديوي محمد توفيق في الفترة ما بين عامي 1900 و1929، حيث بدأ في بناء سراي الإقامة، ثم سراي للاستقبال، سراي العرش، المسجد، المتحف الخاص، متحف الصيد، برج الساعة، والقاعة الذهبية، جميعها بداخل سور ضخم شُيد على طراز حصون القرون الوسطي. أما باقي مساحة القصر فقد تم تخصيصها لتكون حديقة تضم عدد من الأشجار النادرة والنباتات التي قام الأمير بجمعها من مختلف دول العالم، كالصبار والتين الهندي والنخيل الملكي ذي الجذوع البيضاء والبامبو والفيكاس.",https://mota.gov.eg/ar/%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D9%88%D8%A7%D9%84%D9%85%D8%AA%D8%A7%D8%AD%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D8%A3%D8%B9%D9%84%D9%89-%D9%84%D9%84%D8%A2%D8%AB%D8%A7%D8%B1/%D8%AF%D9%84%D9%8A%D9%84-%D9%85%D8%AA%D8%A7%D8%AD%D9%81-%D8%A7%D9%84%D8%A2%D8%AB%D8%A7%D8%B1-%D8%A7%D9%84%D9%85%D9%81%D8%AA%D9%88%D8%AD%D8%A9-%D9%84%D9%84%D8%B2%D9%8A%D8%A7%D8%B1%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF/%D9%82%D8%B5%D8%B1-%D8%A7%D9%84%D9%85%D9%86%D9%8A%D9%84/
